species,temp,injurylevel,recov,metabolites,conc.mean,conc.se,fold_change.mean,fold_change.se,log_foldchange.mean,TRT,group,metabolites_ordered,treatment
RP,34,01-Feb,D,Glycerol,6.482652718,0.602532692,24.9029688,2.314616173,4.599536308,RP1/2D,Polyols,Glycerol,1/2 D
RP,34,01-Feb,D,Isoleucine,0.866207655,0.055573327,1.108655501,0.071128065,0.128669007,RP1/2D,Amino acids,Isoleucine,1/2 D
RP,34,01-Feb,D,Proline,4.386718034,0.196526533,1.935853312,0.086726919,0.943473786,RP1/2D,Amino acids,Proline,1/2 D
RP,34,01-Feb,D,Glycine,1.470466306,0.097749399,2.065819347,0.137325554,1.019653647,RP1/2D,Amino acids,Glycine,1/2 D
RP,34,01-Feb,D,Succinic_acid,0.483009102,0.065477013,0.943909236,0.12795692,-0.162648949,RP1/2D,TCA intermediates,Succinic_acid,1/2 D
RP,34,01-Feb,D,Fumaric_acid,0.329874113,0.087673327,0.89491692,0.237849351,-0.461688004,RP1/2D,TCA intermediates,Fumaric_acid,1/2 D
RP,34,01-Feb,D,Pipecolic_acid,0.293664548,0.027628053,1.175363084,0.110578529,0.18380449,RP1/2D,Amino acids,Pipecolic_acid,1/2 D
RP,34,01-Feb,D,Serine,1.964819004,0.122728984,1.78637725,0.111582932,0.816870091,RP1/2D,Amino acids,Serine,1/2 D
RP,34,01-Feb,D,Threonine,1.0175589,0.04662547,0.939542163,0.043050673,-0.101424473,RP1/2D,Amino acids,Threonine,1/2 D
RP,34,01-Feb,D,Malic_acid,0.867726792,0.072810836,1.167381074,0.097954785,0.189408422,RP1/2D,TCA intermediates,Malic_acid,1/2 D
RP,34,01-Feb,D,Methionine,0.414268849,0.050028953,0.879533658,0.106216405,-0.267704696,RP1/2D,Amino acids,Methionine,1/2 D
RP,34,01-Feb,D,Aspartate,1.471300495,0.112323353,1.526027322,0.116501358,0.582010158,RP1/2D,Amino acids,Aspartate,1/2 D
RP,34,01-Feb,D,GABA,1.737875664,0.108519274,1.287759995,0.080412416,0.342230553,RP1/2D,Amino acids,GABA,1/2 D
RP,34,01-Feb,D,Glutamate,9.320002235,0.737563785,1.635685012,0.129444393,0.673648508,RP1/2D,Amino acids,Glutamate,1/2 D
RP,34,01-Feb,D,Phenylalanine,0.655514524,0.074328007,0.977423402,0.110828869,-0.092781369,RP1/2D,Amino acids,Phenylalanine,1/2 D
RP,34,01-Feb,D,Asparagine,6.41914593,0.612349546,1.065750716,0.101666479,0.048269395,RP1/2D,Amino acids,Asparagine,1/2 D
RP,34,01-Feb,D,Putrescine,0.647162057,0.057091431,1.585016598,0.139827212,0.622363528,RP1/2D,Amines,Putrescine,1/2 D
RP,34,01-Feb,D,Ornithine,0.522239993,0.079541147,1.071120231,0.163139807,-0.017950288,RP1/2D,Amino acids,Ornithine,1/2 D
RP,34,01-Feb,D,Citric_acid,1.435309944,0.065834184,1.531126948,0.070229078,0.604030776,RP1/2D,TCA intermediates,Citric_acid,1/2 D
RP,34,01-Feb,D,Fructose,0.979196343,0.091405036,2.650524799,0.247418524,1.354943662,RP1/2D,Carbohydrates,Fructose,1/2 D
RP,34,01-Feb,D,Glucose,22.01912938,3.284895379,0.681341771,0.101645092,-0.647785188,RP1/2D,Carbohydrates,Glucose,1/2 D
RP,34,01-Feb,D,Lysine,5.440055178,0.361982748,1.323487552,0.088065221,0.381647809,RP1/2D,Amino acids,Lysine,1/2 D
RP,34,01-Feb,D,Tyrosine,12.03746583,3.34177253,1.482189794,0.411477068,0.19602514,RP1/2D,Amino acids,Tyrosine,1/2 D
RP,34,01-Feb,D,Mannitol,57.41104718,4.479873853,56.64848359,4.420369823,5.791678805,RP1/2D,Polyols,Mannitol,1/2 D
RP,34,01-Feb,D,Inositol,1.883412162,0.178688554,2.060712775,0.195509933,0.997360207,RP1/2D,Polyols,Inositol,1/2 D
RP,34,01-Feb,D,Sucrose,0.162278208,0.040950427,0.525639937,0.132643689,-1.419270256,RP1/2D,Carbohydrates,Sucrose,1/2 D
RP,34,01-Feb,D,Trehalose,42.91094874,4.080975065,1.064252309,0.101213962,0.043625807,RP1/2D,Carbohydrates,Trehalose,1/2 D
RP,34,01-Feb,R,Lactic_acid,0.476709173,0.13752576,1.112686701,0.320998825,-0.269705768,RP1/2R,Organic acids,Lactic_acid,1/2 R
RP,34,01-Feb,R,Alanine,3.532573013,0.242903402,0.902234936,0.062038615,-0.172284623,RP1/2R,Amino acids,Alanine,1/2 R
RP,34,01-Feb,R,Valine,2.256190422,0.203719902,2.132982302,0.192594978,1.04809002,RP1/2R,Amino acids,Valine,1/2 R
RP,34,01-Feb,R,Leucine,0.444667961,0.038814979,0.552355984,0.048215046,-0.900402794,RP1/2R,Amino acids,Leucine,1/2 R
RP,34,01-Feb,R,Phosphoric_acid,15.27061121,1.161015192,1.147725275,0.087260848,0.165724614,RP1/2R,Phosphorylated compounds,Phosphoric_acid,1/2 R
RP,34,01-Feb,R,Glycerol,0.374278192,0.018061939,1.437781496,0.069384545,0.51233613,RP1/2R,Polyols,Glycerol,1/2 R
RP,34,01-Feb,R,Isoleucine,1.211541556,0.113549918,1.550646896,0.145332058,0.58492684,RP1/2R,Amino acids,Isoleucine,1/2 R
RP,34,01-Feb,R,Proline,3.694792741,0.221503604,1.630507525,0.09774927,0.687674717,RP1/2R,Amino acids,Proline,1/2 R
RP,34,01-Feb,R,Glycine,0.933050874,0.068127098,1.310818574,0.095709964,0.361932706,RP1/2R,Amino acids,Glycine,1/2 R
RP,34,01-Feb,R,Succinic_acid,0.538248421,0.069997444,1.051859383,0.136790867,0.000827988,RP1/2R,TCA intermediates,Succinic_acid,1/2 R
RP,34,01-Feb,R,Fumaric_acid,0.345632376,0.090017845,0.937667583,0.244209804,-0.375190018,RP1/2R,TCA intermediates,Fumaric_acid,1/2 R
RP,34,01-Feb,R,Pipecolic_acid,0.219985765,0.029591408,0.880471096,0.11843666,-0.273120173,RP1/2R,Amino acids,Pipecolic_acid,1/2 R
RP,34,01-Feb,R,Serine,1.543574227,0.108075616,1.403389258,0.09826036,0.464801431,RP1/2R,Amino acids,Serine,1/2 R
RP,34,01-Feb,R,Threonine,1.043868635,0.104685663,0.963834718,0.096659362,-0.112737874,RP1/2R,Amino acids,Threonine,1/2 R
RP,34,01-Feb,R,Malic_acid,0.85870545,0.073668155,1.155244369,0.099108164,0.174516867,RP1/2R,TCA intermediates,Malic_acid,1/2 R
RP,34,01-Feb,R,Methionine,0.333447044,0.05657117,0.70794099,0.120106177,-0.662653584,RP1/2R,Amino acids,Methionine,1/2 R
RP,34,01-Feb,R,Aspartate,0.708368408,0.043931404,0.73471704,0.045565487,-0.462867617,RP1/2R,Amino acids,Aspartate,1/2 R
RP,34,01-Feb,R,GABA,1.076981625,0.078621736,0.798039745,0.058258441,-0.352201195,RP1/2R,Amino acids,GABA,1/2 R
RP,34,01-Feb,R,Glutamate,6.315963998,0.576962644,1.108468366,0.101258468,0.099844689,RP1/2R,Amino acids,Glutamate,1/2 R
RP,34,01-Feb,R,Phenylalanine,0.879146273,0.087765038,1.310875823,0.130864533,0.341755926,RP1/2R,Amino acids,Phenylalanine,1/2 R
RP,34,01-Feb,R,Asparagine,12.51369846,0.965302444,2.077610205,0.160266145,1.02325469,RP1/2R,Amino acids,Asparagine,1/2 R
RP,34,01-Feb,R,Putrescine,0.385636844,0.049579135,0.944494183,0.121428244,-0.183474552,RP1/2R,Amines,Putrescine,1/2 R
RP,34,01-Feb,R,Ornithine,0.698935358,0.074415003,1.433524458,0.152626026,0.457085884,RP1/2R,Amino acids,Ornithine,1/2 R
