species	temp	injury_level	recov	replicate	Acq..Date.Time	TRT	Lactic_acid	Alanine	Valine	Leucine	Phosphoric_acid	Glycerol	Isoleucine	Proline	Glycine	Succinic_acid	Fumaric_acid	Pipecolic_acid	Serine	Threonine	Malic_acid	Methionine	Aspartate	GABA	Glutamate	Phenylalanine	Asparagine	Putrescine	Ornithine	Citric_acid	Fructose	Glucose	Lysine	Tyrosine	Mannitol	Inositol	Sucrose	Trehalose
SA	34	1/2	R	8	18/11/2022 23:08	1/2 R	0.100238457	3.308048556	4.857114394	0.957002332	13.7993208	0.387959618	2.658330011	5.153844476	1.358862688	0.271236905	0.249704246	0.336849505	2.323561696	4.005563664	0.898290399	0.552425928	1.508339877	2.114563441	9.834991828	2.030207282	14.64801389	0.120309276	0.344671086	0.938563903	0.985054757	18.57995013	3.253188816	20.52946885	3.729698133	0.698474109	0.053333962	45.31067719
SA	34	1/2	D	1	12/10/2022 14:47	2/2 D	0.572875037	7.038706221	2.073726461	0.249662469	16.75345936	0.68676326	0.430105458	1.550328254	1.75649935	0.576592743	0.431627226	0.337001098	2.033270186	0.83077046	1.870237522	0.732554201	1.773132299	2.87797499	6.404333352	0.434814989	5.716546979	0.274428966	0.443762032	0.930781702	1.099623617	19.96080015	6.273047568	7.295343293	33.06209888	1.159687528	0.270402856	8.578642642
SA	34	1/2	D	2	19/10/2022 03:24	2/2 D	1.600047849	5.871388726	2.244409823	0.377737964	19.15409515	0.959021474	0.753223191	3.935198761	1.374560419	0.820257585	1.014376461	0.430772072	1.52956402	0.971088678	2.463324261	0.921129155	1.785254668	2.078490543	7.030362113	0.771285492	5.099418658	0.37289558	0.793735269	1.569974686	1.204893235	30.13784188	4.014430588	4.990135521	64.69551205	1.058650004	0.430747104	7.621992294
SA	34	1/2	D	3	20/10/2022 14:18	2/2 D	0.72682734	3.707678836	2.106575102	0.443878003	14.78906224	0.788301891	0.705775497	2.48459359	1.560431779	0.764464206	0.977646107	0.450585063	1.764255861	0.81636117	1.829732568	0.799328139	1.327208112	1.726564212	4.429181917	0.844211749	5.871549846	0.184574764	0.81423801	1.139950862	0.845070276	16.27478771	4.228445596	4.626094867	35.27658257	0.913416087	0.496835942	9.462926072
SA	34	1/2	D	4	25/10/2022 11:49	2/2 D	1.939894993	7.551900871	2.209962805	0.363887231	14.29150609	0.698254626	0.558021441	1.169502178	1.80064947	0.564815928	0.447789529	0.461924062	1.930076166	0.95453495	1.556894592	0.662672337	1.164676192	2.30370091	4.763875823	0.55494573	3.18186849	0.192209866	0.532338086	0.948659522	1.197370892	14.45133364	4.591740405	6.473328063	31.46467058	1.215459645	0.611510862	3.784965217
SA	34	1/2	D	5	26/10/2022 22:43	2/2 D	0.955364895	6.513536458	1.910481966	0.275316231	11.97612643	0.40440092	0.492695489	1.730016631	1.553585961	0.463722089	0.340875634	0.301040463	1.455492755	0.756603243	1.346849232	0.603212791	1.233362976	2.059797271	4.897651874	0.410790039	3.288888948	0.149056738	0.469448302	0.836630897	1.159183502	16.22046998	4.984095371	4.955493827	38.57060825	0.911727042	0.331964316	6.762349763
SA	34	1/2	D	6	17/11/2022 15:33	2/2 D	0.592077972	6.187560226	2.645583125	0.359851694	18.21047643	0.109426973	0.663089179	1.547781602	2.475057006	0.498426702	0.337370651	0.375255207	2.161354498	0.798667024	1.368671965	0.25578538	1.323860173	2.973090758	7.934357996	0.247528113	5.250377704	0.04416512	0.240472755	0.751242016	1.040819747	26.66756352	6.502513654	18.77723466	73.02421626	1.376631664	0.062329349	7.078889005
SA	34	1/2	D	7	19/11/2022 01:37	2/2 D	1.63763824	5.225057368	2.965143355	0.51046711	19.51569261	0.007509883	0.868013771	1.856314241	2.667775057	0.37881506	0.214771251	0.526271165	2.579088309	1.067197259	1.197540431	0.501227656	1.523139675	2.54441067	7.634649733	0.340219304	6.738259104	0.189411893	0.318314042	0.965338461	0.723174658	20.7030136	5.189676632	17.63865472	44.15994649	1.096623956	0.106240829	9.440429664
SA	34	1/2	D	8	26/11/2022 03:05	2/2 D	1.013505836	4.258460615	1.756058776	0.174854192	21.9723946	0.521954147	0.557306244	1.598027041	1.981779513	0.563532949	0.439119955	0.326619051	2.196925291	0.875565947	1.551431546	0.447270463	1.863516409	2.310441959	7.975634748	0.3262897	5.253349252	0.10855222	0.282317229	1.297595796	0.659200185	14.6432461	5.857111085	25.20123714	62.58146556	0.636183978	0.220123705	8.245743694
SA	34	1/2	R	1	12/10/2022 15:37	2/2 R	3.167394846	5.16718453	2.595251277	0.868692882	27.35908743	0.659711689	1.16549027	6.051745128	1.221762274	0.657027852	0.647148724	0.721815206	2.076098475	1.946459812	2.396415945	0.636517421	1.572172735	1.644873453	8.223874178	1.18006927	18.62645035	0.120867204	0.925558753	1.241006324	0.953940899	23.8732293	3.956247896	5.308189352	1.302433763	1.093234371	0.717241739	31.45757135
