"","species","temp","injurylevel","recov","replicate","Acq..Date.Time","TRT","metabolites","conc","fold_change","log_foldchange","group"
"97","MD",-5,"F","R",3,"2022/10/20 08:29","F R","Lactic_acid",0.99955244,0.396186135084203,-1.33574970228053,"Organic acids"
"98","MD",-5,"F","R",4,"2022/10/21 19:23","F R","Lactic_acid",1.040293276,0.412334316719314,-1.27811355968484,"Organic acids"
"99","MD",-5,"F","R",5,"2022/10/26 16:54","F R","Lactic_acid",1.51130358,0.599025624207489,-0.739310377138107,"Organic acids"
"100","MD",-5,"F","R",6,"2022/11/17 09:44","F R","Lactic_acid",0.415134925,0.164544344941242,-2.60345165010496,"Organic acids"
"101","MD",-5,"F","R",7,"2022/11/18 19:48","F R","Lactic_acid",0.296797091,0.117639543141453,-3.08755500831106,"Organic acids"
"102","MD",-5,"F","R",8,"2022/11/26 17:12","F R","Lactic_acid",0.164216046,0.065089251929143,-3.94143685634861,"Organic acids"
"103","MD",20,"C","R",3,"2022/10/11 22:59","C R","Alanine",11.85046389,1.51318863682557,0.597591847732442,"Amino acids"
"104","MD",20,"C","R",4,"2022/10/13 15:47","C R","Alanine",9.831961835,1.2554456150007,0.328199533453538,"Amino acids"
"105","MD",20,"C","R",5,"2022/10/19 22:31","C R","Alanine",9.588726174,1.22438679386826,0.292059389275549,"Amino acids"
"106","MD",20,"C","R",6,"2022/10/21 09:25","C R","Alanine",6.076932813,0.775965039406067,-0.365936440685901,"Amino acids"
"107","MD",20,"C","R",7,"2022/11/25 12:08","C R","Alanine",4.351219148,0.555608238817343,-0.847860102456471,"Amino acids"
"108","MD",20,"C","R",8,"2022/11/25 19:37","C R","Alanine",5.289407005,0.675405676082065,-0.566173791140081,"Amino acids"
"109","MD",34,"1/2","D",1,"2022/10/11 23:49","1/2 D","Alanine",15.79282743,2.01659000291027,1.01191779644781,"Amino acids"
"110","MD",34,"1/2","D",2,"2022/10/13 16:37","1/2 D","Alanine",12.81452808,1.63629022938934,0.710428662316902,"Amino acids"
"111","MD",34,"1/2","D",3,"2022/10/19 23:21","1/2 D","Alanine",8.068822787,1.03030995808955,0.0430784225812523,"Amino acids"
"112","MD",34,"1/2","D",4,"2022/10/21 10:15","1/2 D","Alanine",11.90249205,1.51983212532,0.603911978048059,"Amino acids"
"113","MD",34,"1/2","D",5,"2022/11/25 12:58","1/2 D","Alanine",9.555352631,1.22012531798791,0.287029333324794,"Amino acids"
"114","MD",34,"1/2","D",6,"2022/10/27 18:40","1/2 D","Alanine",9.201412236,1.17493058225444,0.23257552138966,"Amino acids"
"115","MD",34,"1/2","D",7,"2022/11/18 10:40","1/2 D","Alanine",9.051120252,1.15573976200422,0.208816582672347,"Amino acids"
"116","MD",34,"1/2","D",8,"2022/11/19 20:44","1/2 D","Alanine",12.75607477,1.62882631191759,0.703832771883823,"Amino acids"
"117","MD",34,"1/2","R",1,"2022/10/12 00:39","1/2 R","Alanine",10.1657614,1.29806856321807,0.376366587653167,"Amino acids"
"118","MD",34,"1/2","R",2,"2022/10/13 17:27","1/2 R","Alanine",4.505636122,0.575325780051063,-0.797548976797113,"Amino acids"
"119","MD",34,"1/2","R",3,"2022/10/20 00:10","1/2 R","Alanine",8.933825067,1.1407623111007,0.18999822342467,"Amino acids"
"120","MD",34,"1/2","R",4,"2022/10/21 11:04","1/2 R","Alanine",8.761475306,1.1187549279024,0.161894037187802,"Amino acids"
